6,Havasu,LongislandatlaS#6583861
6,Havasu,Ty_Am03#9667836
6,Havasu,Thad_Acehole#4867412
5,PaPa Team,Hey Dont Be Mad#6574703
5,PaPa Team,ur bad#4961360
5,PaPa Team,Snow#6768625
6,Team massacre,JohnWick#7422075
6,Team massacre,Xkiddmassacre
6,Team massacre,JUGGERNAUT#3362042
4,CBA,Burtond50#2351986
4,CBA,Piercy33
4,CBA,BradenW11
3,621k,Jesus#5217900
3,621k,Donut#5107664
3,621k,Worksheet#7344811
2,GoOJe soup,bahamamoma#9963823
2,GoOJe soup,Ch0nqdingo#5747225
2,GoOJe soup,rpeyton18
3,Rotten INDIVIDUALz,Ravens0126
3,Rotten INDIVIDUALz,Mailman1502
3,Rotten INDIVIDUALz,Hunter138792
4,Team Charged Up,WHODATIS545#6992102
4,Team Charged Up,white-_-ghost10#6516585
4,Team Charged Up,TheRealdtrain03#6507868
6,Brosb4hoes,Killart#7706098
6,Brosb4hoes,Killtrain101#2087469
6,Brosb4hoes,NO_THUMBS6
2,The Nookie Nibblers,Rags#7578945
2,The Nookie Nibblers,Liknucas#3715297
2,The Nookie Nibblers,i have two dads#6453700
3,2Valhalla,SO1LDERxOFxGOD#8867916
3,2Valhalla,TheVitaminx#5748428
3,2Valhalla,DAMSK1PPY#6896105
1,DemBigboyz,Skips#5427295
1,DemBigboyz,Flex4nut#4050890
1,DemBigboyz,Wilder#7926335
4,Bear Patrol,Ellite25
4,Bear Patrol,Sad_eyeZ_#6868179
4,Bear Patrol,ThreeBs
6,Virgin DESTROYERs,MERICA1776#2385744
6,Virgin DESTROYERs,Madmoney93#9875755
6,Virgin DESTROYERs,Colleindo464
4,mcmuf regi,riotzone#2888866
4,mcmuf regi,Fb_Lazer#1131443
4,mcmuf regi,Ramrod#7338427
5,The Slaps,Mrshinnister#6474938
5,The Slaps,GentleScroll76#4935086
5,The Slaps,Shewbert#4277703
5,Team Clutches,ii#9683977
5,Team Clutches,MP5 is Bae#1848673
5,Team Clutches,Sf FlamePlays#9007252
3,Lone Starz,diehardSpursfan
3,Lone Starz,Black_Thunder#5041787
3,Lone Starz,Ace_of_Spade21
4,KelTHOSIG,OSIRIS#8326010
